serial_number	content	sample_count	content_list
486	Mineral surface biome	3	['Mineral surface biome']
487	distilled water	3	['distilled water']
488	ENVO:00002041	3	['ENVO:00002041']
489	glacier	3	['glacier']
490	air	3	['air']
491	organic matter aggregates	3	['organic matter aggregates']
492	oilwater	3	['oilwater']
493	acidic water	3	['acidic water']
494	Bathtub inlet biofilm	3	['Bathtub inlet biofilm']
495	upstream of an estuary	3	['upstream of an estuary']
496	marine oceanic water	3	['marine oceanic water']
497	Middle layer of artificial reef|reinforced concrete	3	['Middle layer of artificial reef', 'reinforced concrete']
498	Bottom layer of artificial reef|reinforced concrete	3	['Bottom layer of artificial reef', 'reinforced concrete']
499	estuarine brackish water	3	['estuarine brackish water']
500	Saline water and halite	3	['Saline water and halite']
501	RNA in seawater	3	['RNA in seawater']
502	ballast water	3	['ballast water']
503	lake	3	['lake']
504	small river biome [ENVO_00000890 ] : wastewater treatment plant [ENVO_00002043]	3	['small river biome [ENVO_00000890 ] : wastewater treatment plant [ENVO_00002043]']
505	saline water | anoxic water	3	['saline water ', ' anoxic water']
506	arsenic_enriched	3	['arsenic_enriched']
507	cast iron	2	['cast iron']
508	spring fluids	2	['spring fluids']
509	marine metagenome	2	['marine metagenome']
510	sponge in medium	2	['sponge in medium']
511	ENVO:00002159	2	['ENVO:00002159']
512	Mar ice	2	['Mar ice']
513	coastal sea water [ENVO:00002153]	2	['coastal sea water [ENVO:00002153]']
514	coastal sea water [ENVO:00002166]	2	['coastal sea water [ENVO:00002166]']
515	coastal sea water [ENVO:00002199]	2	['coastal sea water [ENVO:00002199]']
516	coastal sea water [ENVO:00002203]	2	['coastal sea water [ENVO:00002203]']
517	coastal sea water [ENVO:00002204]	2	['coastal sea water [ENVO:00002204]']
518	coastal sea water [ENVO:00002210]	2	['coastal sea water [ENVO:00002210]']
519	coastal sea water [ENVO:00002220]	2	['coastal sea water [ENVO:00002220]']
520	coastal sea water [ENVO:00002223]	2	['coastal sea water [ENVO:00002223]']
521	coastal sea water [ENVO:00002229]	2	['coastal sea water [ENVO:00002229]']
522	coastal sea water [ENVO:00002230]	2	['coastal sea water [ENVO:00002230]']
523	coastal sea water [ENVO:00002235]	2	['coastal sea water [ENVO:00002235]']
524	coastal sea water [ENVO:00002239]	2	['coastal sea water [ENVO:00002239]']
525	coastal sea water [ENVO:00002241]	2	['coastal sea water [ENVO:00002241]']
526	coastal sea water [ENVO:00002244]	2	['coastal sea water [ENVO:00002244]']
527	coastal sea water [ENVO:00002249]	2	['coastal sea water [ENVO:00002249]']
528	coastal sea water [ENVO:00002256]	2	['coastal sea water [ENVO:00002256]']
529	coastal sea water [ENVO:00002258]	2	['coastal sea water [ENVO:00002258]']
530	coastal sea water [ENVO:00002268]	2	['coastal sea water [ENVO:00002268]']
531	coastal sea water [ENVO:00002274]	2	['coastal sea water [ENVO:00002274]']
532	coastal sea water [ENVO:00002275]	2	['coastal sea water [ENVO:00002275]']
533	coastal sea water [ENVO:00002292]	2	['coastal sea water [ENVO:00002292]']
534	coastal sea water [ENVO:00002310]	2	['coastal sea water [ENVO:00002310]']
535	coastal sea water [ENVO:00002313]	2	['coastal sea water [ENVO:00002313]']
536	coastal sea water [ENVO:00002322]	2	['coastal sea water [ENVO:00002322]']
537	coastal sea water [ENVO:00002326]	2	['coastal sea water [ENVO:00002326]']
538	coastal sea water [ENVO:00002343]	2	['coastal sea water [ENVO:00002343]']
539	coastal sea water [ENVO:00002345]	2	['coastal sea water [ENVO:00002345]']
540	coastal sea water [ENVO:00002358]	2	['coastal sea water [ENVO:00002358]']
541	coastal sea water [ENVO:00002365]	2	['coastal sea water [ENVO:00002365]']
542	coastal sea water [ENVO:00002366]	2	['coastal sea water [ENVO:00002366]']
543	coastal sea water [ENVO:00002377]	2	['coastal sea water [ENVO:00002377]']
544	coastal sea water [ENVO:00002381]	2	['coastal sea water [ENVO:00002381]']
545	coastal sea water [ENVO:00002406]	2	['coastal sea water [ENVO:00002406]']
546	coastal sea water [ENVO:00002417]	2	['coastal sea water [ENVO:00002417]']
547	coastal sea water [ENVO:00002419]	2	['coastal sea water [ENVO:00002419]']
